Code géographique,Coups et blessures volontaires,Vols avec armes,Cambriolages de logement,Vols de véhicules,Destructions et dégradations volontaires,Trafic de stupéfiants
01213,0.0,0.0,4.837018484861825,0.0,0.0,0.0
01214,0.0,0.0,0.0,0.0,0.0,0.0
01215,0.0,0.0,0.0,0.0,0.0,0.0
01216,0.0,0.0,0.0,0.0,0.0,0.0
01219,0.0,0.0,0.0,0.0,0.0,0.0
01224,1.3802622498274673,0.0,5.0121791182159265,0.9366065266686386,0.0,0.0
01225,0.0,0.0,0.0,0.0,0.0,0.0
01227,0.0,0.0,0.0,0.0,0.0,0.0
01228,0.0,0.0,6.870621059644146,0.0,0.0,0.0
01229,0.0,0.0,0.0,0.0,0.0,0.0
01230,0.0,0.0,0.0,0.0,0.0,0.0
01231,0.0,0.0,0.0,0.0,0.0,0.0
01232,0.0,0.0,10.426297652340908,0.0,0.0,0.0
01233,0.0,0.0,0.0,0.0,0.0,0.0
01234,0.0,0.0,0.0,0.0,0.0,0.0
01235,0.0,0.0,0.0,0.0,0.0,0.0
01236,0.0,0.0,0.0,0.0,0.0,0.0
01237,0.0,0.0,0.0,0.0,0.0,0.0
01238,3.4299060165779083,0.0,15.391685434445007,0.0,0.0,0.0
01239,0.0,0.0,0.0,0.0,0.0,0.0
01240,0.0,0.0,0.0,0.0,0.0,0.0
01241,0.0,0.0,0.0,0.0,0.0,0.0
01242,0.0,0.0,0.0,0.0,0.0,0.0
01243,0.0,0.0,0.0,0.0,0.0,0.0
01244,3.0101233581758726,0.0,8.898519212319032,2.2897587001520807,0.0,0.2996195439029274
01245,0.0,0.0,0.0,0.0,0.0,0.0
01246,0.0,0.0,0.0,0.0,0.0,0.0
01247,0.0,0.0,0.0,0.0,0.0,0.0
01248,0.0,0.0,18.83395530788889,0.0,0.0,0.0
01249,3.3036205273752586,0.0,9.221191657252673,2.5010622525781536,0.0,0.0
01250,0.0,0.0,0.0,0.0,0.0,0.0
01252,0.0,0.0,0.0,0.0,0.0,0.0
01254,0.0,0.0,20.585811161332533,0.0,0.0,0.0
01255,0.0,0.0,0.0,0.0,0.0,0.0
01257,0.0,0.0,0.0,0.0,0.0,0.0
01258,0.0,0.0,0.0,0.0,0.0,0.0
01259,0.0,0.0,0.0,0.0,0.0,0.0
01260,0.0,0.0,0.0,0.0,0.0,0.0
01261,0.0,0.0,0.0,0.0,0.0,0.0
01262,3.075427266030276,0.0,4.900159452614819,2.055109734644652,0.0,0.0
01263,2.4675305727926062,0.0,9.971374970449103,0.0,0.0,0.0
01264,0.0,0.0,0.0,0.0,0.0,0.0
01265,2.035558377480571,0.0,2.6769521098091063,0.2857959416976279,0.0,0.0
01266,3.8759489433886465,0.0,0.0,0.0,0.0,0.0
