Code géographique,Elu,Orientation
02621,Emmanuel,C
02622,Marine,D
02623,Marine,D
02624,Marine,D
02625,Marine,D
02626,Marine,D
02627,Marine,D
02628,Marine,D
02629,Marine,D
02631,Marine,D
02632,Emmanuel,C
02633,Marine,D
02634,Marine,D
02635,Marine,D
02636,Marine,D
02637,Emmanuel,C
02638,Marine,D
02639,Marine,D
02640,Marine,D
02641,Marine,D
02642,Marine,D
02643,Marine,D
02644,Marine,D
02645,Marine,D
02647,Marine,D
02648,Marine,D
02649,Marine,D
02650,Marine,D
02651,Marine,D
02652,Marine,D
02653,Marine,D
02654,Emmanuel,C
02655,Marine,D
02656,Emmanuel,C
02657,Marine,D
02658,Marine,D
02659,Emmanuel,C
02660,Marine,D
02661,Marine,D
02662,Marine,D
02663,Marine,D
02664,Marine,D
02665,Marine,D
02666,Marine,D
02667,Marine,D
02668,Marine,D
02670,Emmanuel,C
02671,Marine,D
02672,Marine,D
02673,Marine,D
02674,Emmanuel,C
02675,Marine,D
02676,Marine,D
02677,Marine,D
02678,Marine,D
02679,Marine,D
02680,Marine,D
02681,Marine,D
02682,Marine,D
02683,Marine,D
02684,Marine,D
02685,Marine,D
02686,Marine,D
02687,Emmanuel,C
02688,Emmanuel,C
02689,Marine,D
02690,Emmanuel,C
02691,Marine,D
02693,Marine,D
02694,Marine,D
02696,Emmanuel,C
02697,Marine,D
02698,Marine,D
02699,Marine,D
02701,Marine,D
02702,Marine,D
02703,Marine,D
02704,Marine,D
02705,Marine,D
02706,Marine,D
02707,Marine,D
02708,Marine,D
02709,Marine,D
02710,Marine,D
02711,Marine,D
02712,Marine,D
02713,Marine,D
02714,Marine,D
02715,Marine,D
02716,Marine,D
02717,Marine,D
02718,Marine,D
02719,Marine,D
02720,Marine,D
02721,Marine,D
02722,Marine,D
02723,Marine,D
02724,Marine,D
02725,Marine,D
02726,Marine,D
02727,Marine,D
02728,Marine,D
02729,Marine,D
02730,Marine,D
02731,Marine,D
02732,Marine,D
02734,Marine,D
02735,Emmanuel,C
02736,Marine,D
02737,Marine,D
02738,Marine,D
02739,Marine,D
02740,Marine,D
02741,Marine,D
02742,Marine,D
02743,Marine,D
02744,Emmanuel,C
02745,Marine,D
02746,Marine,D
02747,Marine,D
02748,Marine,D
02749,Marine,D
02750,Marine,D
02751,Marine,D
02752,Marine,D
02753,Marine,D
02754,Marine,D
02755,Marine,D
02756,Marine,D
02757,Marine,D
02758,Marine,D
02759,Marine,D
02760,Marine,D
02761,Marine,D
02762,Marine,D
02763,Marine,D
02764,Marine,D
02765,Emmanuel,C
02766,Marine,D
02767,Marine,D
02768,Marine,D
02769,Marine,D
02770,Marine,D
02772,Marine,D
02773,Emmanuel,C
02774,Marine,D
02775,Marine,D
02776,Marine,D
02777,Marine,D
02778,Marine,D
02779,Marine,D
02780,Marine,D
02781,Marine,D
02782,Marine,D
02783,Marine,D
02784,Marine,D
02785,Marine,D
02786,Marine,D
02787,Marine,D
02788,Marine,D
02789,Marine,D
02790,Marine,D
02791,Marine,D
02792,Marine,D
02793,Marine,D
02794,Marine,D
02795,Marine,D
02796,Marine,D
02797,Marine,D
02798,Marine,D
02799,Marine,D
02800,Marine,D
02801,Marine,D
02802,Marine,D
02803,Marine,D
02804,Marine,D
02805,Marine,D
02806,Marine,D
02807,Marine,D
02808,Marine,D
02809,Éric,D
02810,Marine,D
02812,Marine,D
02813,Marine,D
02814,Marine,D
02815,Marine,D
02816,Marine,D
02817,Marine,D
02818,Marine,D
02819,Marine,D
02820,Marine,D
02821,Marine,D
02822,Marine,D
02823,Emmanuel,C
02824,Emmanuel,C
02826,Marine,D
02827,Marine,D
02828,Marine,D
02829,Emmanuel,C
02830,Marine,D
02831,Marine,D
02832,Marine,D
02833,Marine,D
02834,Marine,D
03001,Emmanuel,C
03002,Jean-Luc,G
03003,Marine,D
03004,Marine,D
03005,Marine,D
03006,Marine,D
03007,Emmanuel,C
03008,Emmanuel,C
03009,Marine,D
03010,Marine,D
03011,Marine,D
03012,Jean-Luc,G
03013,Emmanuel,C
03014,Emmanuel,C
03015,Marine,D
03016,Marine,D
03017,Marine,D
03018,Marine,D
03019,Marine,D
03020,Marine,D
03021,Emmanuel,C
03022,Marine,D
03023,Emmanuel,C
03024,Marine,D
03025,Marine,D
03026,Emmanuel,C
03027,Marine,D
03028,Marine,D
03029,Marine,D
03030,Marine,D
03031,Emmanuel,C
03032,Marine,D
03033,Marine,D
03034,Marine,D
03035,Marine,D
03036,Jean-Luc,G
03037,Marine,D
03038,Marine,D
03039,Marine,D
03040,Emmanuel,C
03041,Emmanuel,C
03042,Emmanuel,C
03043,Marine,D
03044,Emmanuel,C
03045,Marine,D
03046,Marine,D
03047,Marine,D
03048,Emmanuel,C
03049,Marine,D
03050,Jean-Luc,G
03051,Marine,D
03052,Marine,D
03053,Emmanuel,C
03054,Marine,D
03055,Marine,D
03056,Emmanuel,C
03057,Emmanuel,C
03058,Marine,D
03059,Marine,D
03060,Emmanuel,C
03061,Marine,D
03062,Marine,D
03063,Marine,D
03064,Marine,D
03065,Marine,D
03066,Emmanuel,C
03067,Emmanuel,C
03068,Marine,D
03069,Jean-Luc,G
03070,Emmanuel,C
03071,Marine,D
03072,Marine,D
03073,Marine,D
03074,Emmanuel,C
03075,Marine,D
03076,Emmanuel,C
03077,Marine,D
03078,Jean-Luc,G
03079,Marine,D
03080,Emmanuel,C
03081,Marine,D
03082,Marine,D
03083,Marine,D
03084,Emmanuel,C
03085,Emmanuel,C
03086,Marine,D
03087,Marine,D
03088,Marine,D
03089,Jean-Luc,G
03090,Marine,D
03091,Marine,D
03092,Marine,D
03093,Emmanuel,C
03094,Emmanuel,C
03095,Emmanuel,C
03096,Emmanuel,C
03097,Marine,D
03098,Marine,D
03099,Emmanuel,C
03100,Marine,D
03101,Marine,D
03102,Marine,D
03103,Marine,D
03104,Marine,D
03105,Marine,D
03106,Marine,D
03107,Emmanuel,C
03108,Emmanuel,C
03109,Marine,D
03110,Marine,D
03111,Marine,D
03112,Marine,D
03113,Emmanuel,C
03114,Marine,D
03115,Emmanuel,C
03116,Marine,D
03117,Marine,D
03118,Marine,D
03119,Emmanuel,C
03120,Marine,D
03121,Marine,D
03122,Jean-Luc,G
03124,Marine,D
03125,Marine,D
03126,Marine,D
03127,Emmanuel,C
03128,Marine,D
03129,Marine,D
03130,Marine,D
03131,Marine,D
03132,Marine,D
03133,Emmanuel,C
03134,Emmanuel,C
03135,Marine,D
03136,Marine,D
03137,Marine,D
03138,Marine,D
03139,Marine,D
03140,Emmanuel,C
03141,Emmanuel,C
03142,Marine,D
03143,Marine,D
03144,Marine,D
03145,Jean-Luc,G
03146,Emmanuel,C
03147,Marine,D
03148,Marine,D
03149,Emmanuel,C
03150,Jean-Luc,G
03151,Emmanuel,C
03152,Jean-Luc,G
03154,Marine,D
03155,Marine,D
03156,Emmanuel,C
03157,Marine,D
03158,Marine,D
03159,Marine,D
03160,Marine,D
03161,Emmanuel,C
03162,Emmanuel,C
03163,Marine,D
03164,Marine,D
03165,Emmanuel,C
03166,Emmanuel,C
03167,Marine,D
03168,Marine,D
03169,Marine,D
03170,Emmanuel,C
03171,Emmanuel,C
03172,Marine,D
03173,Marine,D
03174,Marine,D
03175,Marine,D
03176,Emmanuel,C
03177,Marine,D
03178,Marine,D
03179,Marine,D
03180,Marine,D
03181,Marine,D
03182,Marine,D
03183,Emmanuel,C
03184,Marine,D
03185,Emmanuel,C
03186,Marine,D
03187,Marine,D
03188,Marine,D
03189,Marine,D
03190,Emmanuel,C
03191,Emmanuel,C
03192,Marine,D
03193,Marine,D
03194,Marine,D
03195,Emmanuel,C
03196,Emmanuel,C
03197,Emmanuel,C
03198,Marine,D
03200,Emmanuel,C
03201,Marine,D
03202,Emmanuel,C
03203,Marine,D
03204,Marine,D
03205,Marine,D
03206,Marine,D
03207,Marine,D
03208,Marine,D
03209,Marine,D
03210,Marine,D
03211,Emmanuel,C
03212,Marine,D
03213,Emmanuel,C
03214,Marine,D
03215,Marine,D
03216,Emmanuel,C
03217,Marine,D
03218,Marine,D
03219,Marine,D
03220,Emmanuel,C
03221,Emmanuel,C
03222,Jean-Luc,G
03223,Marine,D
03224,Emmanuel,C
03225,Marine,D
03226,Marine,D
03227,Marine,D
03228,Éric,D
03229,Marine,D
03230,Marine,D
03231,Emmanuel,C
03232,Marine,D
03233,Marine,D
03234,Marine,D
03235,Marine,D
03236,Marine,D
03237,Marine,D
03238,Marine,D
03239,Emmanuel,C
03240,Marine,D
03241,Marine,D
03242,Marine,D
03243,Emmanuel,C
03244,Marine,D
03245,Marine,D
03246,Marine,D
03247,Jean-Luc,G
03248,Emmanuel,C
03249,Marine,D
03250,Emmanuel,C
03251,Marine,D
03252,Marine,D
03253,Marine,D
03254,Emmanuel,C
03255,Marine,D
03256,Marine,D
