Code géographique,Médiane du niveau vie (€)
07210,20690
07211,20300
07212,18560
07213,17410
07214,17750
07215,19490
07216,19450
07217,21300
07218,21290
07219,24660
07220,19320
07221,20030
07222,26140
07223,19840
07224,16860
07225,26560
07226,s
07227,24050
07228,22910
07229,21870
07230,21420
07231,22830
07232,19090
07233,18910
07234,20570
07235,18790
07236,21220
07237,22370
07238,21080
07239,19200
07240,25800
07241,21990
07242,20880
07243,22150
07244,20730
07245,23710
07247,20640
07248,19930
07249,s
07250,22200
07251,19080
07253,17360
07254,22710
07255,22700
07257,19440
07258,18500
07259,20990
07260,23930
07261,22930
07262,17430
07263,18740
07264,23660
07265,22660
07266,s
07267,20010
07268,24700
07269,20690
07270,23720
07272,23980
07273,18200
07274,21440
07275,s
07276,23280
07277,20450
07278,20350
07279,24050
07280,19560
07281,25790
07282,18980
07283,s
07284,20190
07285,s
07286,20450
07287,22540
07288,24040
07289,22060
07290,18870
07291,22250
07292,23770
07293,23400
07294,19090
07295,20360
07296,22470
07297,20430
07298,24610
07299,19590
07300,24940
07301,20800
07302,25130
07303,22140
07304,21230
07305,21550
07306,20600
07307,20340
07308,22220
07309,21530
07310,25700
07311,19320
07312,22870
07313,21020
07314,19770
07315,20630
07316,26810
07317,24410
07318,23400
07319,19850
07321,24930
07322,20220
07323,26640
07324,21900
07325,23150
07326,s
07327,21510
07328,21630
07329,18120
07330,21190
07331,20010
07332,21790
07333,21530
07334,19660
07335,21830
07336,20460
07337,23840
07338,19810
07339,22270
07340,25760
07341,21920
07342,22310
07343,23910
07344,25120
07345,22190
07346,21970
07347,20080
