Fichier Localisé Social et Fiscal (FiLoSoFi) - Année 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Communes et arrondissements municipaux,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mise en ligne le 29/01/2024       Géographie au 01/01/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@Insee       Source(s) : Insee-DGFIP-Cnaf-Cnav-CCMSA, Fichier localisé social et fiscal.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code géographique,Libellé géographique,Nombre de ménages fiscaux,Nombre de personnes dans les ménages fiscaux,Médiane du niveau vie (€),Part des ménages fiscaux imposés (%),Taux de pauvreté-Ensemble (%),Taux de pauvreté-moins de 30 ans (%),Taux de pauvreté-30 à 39 ans  (%),Taux de pauvreté-40 à 49 ans (%),Taux de pauvreté-50 à 59 ans (%),Taux de pauvreté-60 à 74 ans (%),Taux de pauvreté-75 ans ou plus (%),Taux de pauvreté-propriétaires (%),Taux de pauvreté-locataires (%),Part des revenus d'activité (%),dont part des salaires et traitements (%),dont part des indemnités de chômage (%),dont part des revenus des activités non salariées (%),"Part des pensions, retraites et rentes (%)",Part des revenus du patrimoine et autres revenus (%),Part de l'ensemble des prestations sociales (%),dont part des prestations familiales (%),dont part des minima sociaux (%),dont part des prestations logement (%),Part des impôts (%),1ᵉʳ décile du niveau de vie (€),9ᵉ décile du niveau de vie (€),Rapport interdécile 9ᵉ décile/1ᵉʳ décile
CODGEO,LIBGEO,NBMENFISC21,NBPERSMENFISC21,MED21,PIMP21,TP6021,TP60AGE121,TP60AGE221,TP60AGE321,TP60AGE421,TP60AGE521,TP60AGE621,TP60TOL121,TP60TOL221,PACT21,PTSA21,PCHO21,PBEN21,PPEN21,PPAT21,PPSOC21,PPFAM21,PPMINI21,PPLOGT21,PIMPOT21,D121,D921,RD21
01066,La Burbanche,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
01067,Ceignes,103,245,25900,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
01068,Cerdon,334,734,21410,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
01069,Certines,671,1583,25570,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
01071,Cessy,1961,4845,42540,"63,0","7,0",s,s,s,s,s,s,s,s,"97,0","90,6","3,0","3,4","14,5","6,5","1,0","0,4","0,4","0,2","-19,0",16720,86560,"5,2"
01072,Ceyzériat,1392,3231,25320,"63,0","7,0",s,s,s,s,s,s,s,s,"76,3","66,7","2,4","7,2","27,5","10,0","3,8","1,8","1,3","0,7","-17,6",15220,41750,"2,7"
01073,Ceyzérieu,457,1045,25250,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
01074,Chalamont,1029,2423,23720,"50,0","11,0",s,s,s,s,s,s,s,s,"78,8","72,7","2,8","3,3","23,7","7,2","4,7","2,2","1,7","0,8","-14,4",13460,36870,"2,7"
01075,Chaleins,555,1462,24890,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
01076,Chaley,86,150,21070,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
01077,Challes-la-Montagne,92,184,24620,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
01078,Challex,561,1340,44460,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
01079,Champagne-en-Valromey,308,677,22770,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
01080,Champdor-Corcelles,281,630,23720,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
01081,Champfromier,322,726,27400,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
01082,Chanay,215,492,27880,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
01083,Chaneins,384,992,25580,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
01084,Chanoz-Châtenay,342,909,24050,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
01085,La Chapelle-du-Châtelard,151,396,26330,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
01087,Charix,118,281,27320,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
01088,Charnoz-sur-Ain,380,975,28140,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
01089,Château-Gaillard,896,2353,25170,"62,0",s,s,s,s,s,s,s,s,s,"83,4","78,4","2,3","2,7","21,6","5,5","4,1","2,4","1,1","0,6","-14,6",15540,37250,"2,4"
01090,Châtenay,154,368,24090,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
01092,Châtillon-la-Palud,674,1650,25470,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
01093,Châtillon-sur-Chalaronne,2349,4775,23430,"52,0","10,0",s,s,s,s,s,s,s,"18,0","65,8","59,1","2,4","4,3","34,9","9,8","4,6","1,7","2,0","0,9","-15,1",13920,38660,"2,8"
01094,Chavannes-sur-Reyssouze,320,756,23460,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
01095,Nivigne et Suran,343,772,23260,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
01096,Chaveyriat,410,1083,23940,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
01098,Chazey-Bons,460,1133,22520,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
01099,Chazey-sur-Ain,674,1601,26780,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
